V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q12,Q3,Q14,Q14_TEXT,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_8_TEXT,Q9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q17,Q10,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q16_19,Q11,
R_5hi1c1NtgB8QS5T,Default Response Set,Anonymous,,,129.252.139.194,0,2012-08-23 08:54:15,2012-08-23 09:01:17,1,1,3,2,,,,,,,,1,1,gene family evolution,1,1,3,3,3,1,2,1,1,2,1,2,1,1,1,3,1,1,1,1,,1,1,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_4TlvRR2j2rQvAeF,Default Response Set,Anonymous,,,137.99.69.112,0,2012-08-23 07:30:28,2012-08-23 09:14:05,1,1,3,2,,1,,1,,,,,,,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,3,3,3,3,3,,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,3,2,2,2,2,,
R_3w0BzNvy9CWSae9,Default Response Set,Anonymous,,,139.78.154.248,0,2012-08-23 09:09:27,2012-08-23 09:15:25,1,1,3,3,,1,,,,,,1,,,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,"If relative or absolute dates are reported, elements related to these estimates should be included.",1,1,2,2,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,,
R_5uOx0MnO6ZSytdX,Default Response Set,Anonymous,,,160.111.254.17,0,2012-08-23 09:20:10,2012-08-23 09:22:37,1,1,3,1,,,1,,,,,1,,,1,1,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_eKCxOWYQRciEIQt,Default Response Set,Anonymous,,,65.19.22.214,0,2012-08-23 09:13:35,2012-08-23 09:24:48,1,1,3,3,,,,,,1,,,1,epidemiology,1,1,2,3,3,3,3,1,1,2,1,3,3,3,3,3,3,3,3,3,"Most problems I see in trees are due to input data and alignment issues, but most reviewers focus on methods (maximun likelihood vs neighbor-joining, requesting bootstrap etc).  ",1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,"It's really impossible to answer those questions the same for all data types.  For a radily evolving and globally spreading virus, the date is critical and location perhaps not useful.  For some bacteria and viruses, the host or tissue type of sample is important.  For plants the elevation might be critical, or depth of sample in the ocean. / For all, providing the actual sequence alignment used, and having that alignment provide links to the database (CenBank accession number, for example) is the best way to go.  Providing all the information in tip labels is too much for drawing most trees to publication size and quality.",
R_3P0rOuZqbhTQQw5,Default Response Set,Anonymous,,,128.194.231.54,0,2012-08-23 09:27:18,2012-08-23 09:33:40,1,1,1,3,,1,,,,,,,,,1,1,1,2,1,1,3,2,2,3,1,1,2,1,1,2,2,2,2,2,All of the above information is important to be included in the respective publication.  Not all of it need to be depicted on the specific tree.,1,1,3,1,1,1,3,2,2,3,1,1,2,1,1,2,2,1,3,1,,
R_3ehEdU62Tl0qOZD,Default Response Set,Anonymous,,,63.140.186.66,0,2012-08-23 09:54:48,2012-08-23 10:02:54,1,1,3,2,,,1,,,,,1,,,1,1,2,3,1,1,3,2,1,2,1,1,2,1,1,2,2,2,2,2,It is not uncommon to find an article that makes the phylogenetic data available in pdf format.  This is useful for viewing a tree but almost useless for analyzing a tree with software.    Phylogenetic data should be made available in nexus or newick format.,1,1,2,3,1,1,3,2,2,,1,1,1,1,1,2,1,1,1,1,,
R_dnm1mTy14FbjtJP,Default Response Set,Anonymous,,,134.34.212.228,0,2012-08-23 09:59:46,2012-08-23 10:04:05,1,1,3,2,,,,,,,,,1,Evolutionary biology,1,1,3,3,2,1,3,1,2,3,1,1,1,1,1,3,2,2,2,2,,1,1,3,2,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,2,,
R_6ioagzgE1jaCHNH,Default Response Set,Anonymous,,,192.134.152.182,0,2012-08-23 10:27:23,2012-08-23 10:33:14,1,1,3,3,,1,,,,,,1,,,1,1,3,1,1,1,3,3,3,2,1,2,2,3,3,3,1,2,2,2,,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,,
R_037eZL45Qc0oKoZ,Default Response Set,Anonymous,,,24.10.90.252,0,2012-08-23 10:22:32,2012-08-23 10:40:34,1,1,3,3,,1,,,,,,1,,,1,1,3,2,2,1,2,2,2,2,1,1,2,1,1,3,2,1,2,2,,1,1,1,2,1,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,,
R_cI0BvJDk1NMKnB3,Default Response Set,Anonymous,,,193.40.8.24,0,2012-08-23 10:35:35,2012-08-23 10:42:10,1,1,3,1,,1,,,,,1,,,,1,1,1,3,1,1,2,1,1,,1,1,3,1,1,3,1,1,3,1,,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,3,1,1,2,1,,
R_bfJ7CSdDBKQT2mx,Default Response Set,Anonymous,,,140.247.98.53,0,2012-08-23 10:38:07,2012-08-23 10:50:37,1,1,2,3,,,,,,1,,,,,1,1,1,1,1,,1,2,2,1,3,3,3,3,3,3,3,3,3,3,"For provenance metadata, the impending W3C PROV ontology should perhaps be used to express it.  http://www.w3.org/TR/prov-o/ / More generally of course standard metadata ontologies should be used wherever reasonable.",1,,,,,,,,,,,,,,,,,,,,"I don't do any publishing or archiving, but if I did, all of them would be ""Easy"".  For archiving, and probably for publishing, these questions are not about the metadata items. They are about the strength of the programmer who has to implement them.  At worst, the work would be unambiguously publishing the metadata, which is difficult only if there are hidden semantic linkages between the metadata. Without knowing about that---which I don't---probably no answers to this section are reliable.",
R_dna4ywHTjj6ZYbj,Default Response Set,Anonymous,,,130.39.114.93,0,2012-08-23 10:45:10,2012-08-23 10:52:03,1,1,3,1,,,1,,,,,1,,,1,1,3,3,2,3,1,1,2,2,1,3,1,1,2,2,2,2,1,1,,1,1,2,1,3,3,2,3,3,1,2,1,1,2,2,1,3,1,1,3,,
R_3ftwAM7gaAedtJP,Default Response Set,Anonymous,,,199.133.188.61,0,2012-08-23 10:46:56,2012-08-23 10:52:57,1,1,3,4,Professional researcher,,1,,,1,,,,,1,1,3,3,1,1,3,1,1,1,1,1,1,1,1,3,2,2,2,2,,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,"I don't really know what ""Full list of samples used to calculate support values"" means.",
R_3UYRRNojhiA0nkh,Default Response Set,Anonymous,,,141.211.153.81,0,2012-08-23 10:55:59,2012-08-23 10:59:31,1,1,3,2,,1,1,,,,,,,,1,1,2,2,3,1,2,1,1,2,2,2,2,1,1,2,3,2,3,3,,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,,
R_cwOONyWQ8K1PwZ7,Default Response Set,Anonymous,,,174.7.186.169,0,2012-08-23 11:03:50,2012-08-23 11:12:00,1,1,3,3,,1,1,1,,,,,,,1,,1,2,1,2,3,3,1,3,3,3,3,3,1,3,3,3,3,3,taxonomic names of internal nodes (clades) / phylogenetic definitions of names (internal and leaf),1,1,2,2,1,1,3,1,1,2,1,1,1,1,1,3,1,1,1,1,for some of the items the answer is 'it depends' - I marked them medium,
R_cBAu7XmJRKT7bzD,Default Response Set,Anonymous,,,128.143.175.78,0,2012-08-23 11:12:44,2012-08-23 11:15:33,1,1,3,2,,,,,,,,1,,,1,1,3,2,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,,
R_cJ71cXMDJEW0hKZ,Default Response Set,Anonymous,,,161.116.100.92,0,2012-08-23 11:12:31,2012-08-23 11:27:23,1,1,3,3,,1,,1,,,,,,,1,1,2,2,3,1,2,1,1,3,2,3,2,1,1,3,3,3,3,3,,1,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,,
R_40A2PxwdTl5PWEl,Default Response Set,Anonymous,,,152.3.59.111,0,2012-08-23 11:34:07,2012-08-23 11:37:22,1,1,3,2,,1,1,,,,,,,,1,1,3,2,3,1,3,2,2,1,2,2,2,3,3,3,1,1,1,1,,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,Some of us still use our eyes (and no algorithms) to align sequences. ,
R_9o7bnt1cm0VIdtr,Default Response Set,Anonymous,,,200.57.48.43,0,2012-08-23 11:42:42,2012-08-23 11:50:39,1,1,3,3,,1,1,1,,1,1,,,,1,1,2,3,1,1,3,2,3,1,1,1,1,2,2,2,1,2,2,1,,1,2,2,2,1,1,2,3,3,1,1,1,1,2,1,2,1,1,1,1,,
R_cHlfRWkNDANn8bz,Default Response Set,Anonymous,,,128.114.102.102,0,2012-08-23 11:54:25,2012-08-23 12:08:19,1,1,3,4,Researcher,,,1,,,,,1,Molecular Ecology,1,1,3,2,1,1,3,2,2,3,1,2,2,1,1,3,3,3,3,3,,1,2,3,2,1,1,2,1,1,2,2,2,2,1,1,3,,,,,,
R_0kCELEyywZuPQLH,Default Response Set,Anonymous,,,128.227.105.242,0,2012-08-23 12:15:19,2012-08-23 12:21:19,1,1,3,1,,,1,,,,,1,,,1,1,3,3,3,1,3,1,1,1,1,2,1,2,2,3,2,3,2,3,,1,1,3,3,1,1,3,2,2,1,1,1,1,2,1,2,2,1,1,1,,
R_0xPyIiK489L3CvP,Default Response Set,Anonymous,,,129.173.66.224,0,2012-08-23 12:21:25,2012-08-23 12:24:12,1,1,3,2,,,,,,1,,1,,,1,1,2,3,3,2,2,1,1,2,1,3,2,1,1,3,2,3,3,1,,1,2,3,1,2,1,2,1,1,1,1,1,2,2,2,3,2,1,2,2,,
R_6KyWSejDxpKsMvz,Default Response Set,Anonymous,,,193.137.39.4,0,2012-08-23 12:55:21,2012-08-23 12:58:47,1,1,3,1,,,1,1,,,,,,,1,1,2,1,3,2,1,2,2,3,2,3,3,1,1,3,3,3,3,3,,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,,
R_eKI8KdWJZakvwUJ,Default Response Set,Anonymous,,,130.39.127.27,0,2012-08-23 12:57:34,2012-08-23 13:02:48,1,1,3,3,,1,1,,,,,,,,1,1,3,3,2,1,3,1,1,2,1,2,2,1,1,2,2,2,2,2,,1,1,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,,
R_3CRnOmaV9spHkSF,Default Response Set,Anonymous,,,75.164.246.70,0,2012-08-23 13:11:34,2012-08-23 13:14:46,1,1,3,3,,,,,,,,,1,evolutionary genetics,1,1,2,3,1,2,2,3,1,2,1,1,1,1,1,2,2,2,2,2,,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,,
